time,x1,x2
0.0,5.0,5.0
0.1282051282051282,5.2450085822681976,5.27642220524698
0.2564102564102564,5.4719381741303685,5.538999481008021
0.38461538461538464,5.679704260485,5.786075438883201
0.5128205128205128,5.867847655189593,6.016539771496507
0.6410256410256411,6.036477126119063,6.229803486634744
0.7692307692307693,6.186196034253919,6.425761903626751
0.8974358974358975,6.31790279103089,6.60464920072302
1.0256410256410255,6.432742476799379,6.767003853525157
1.1538461538461537,6.532102216011602,6.913664474726923
1.2820512820512822,6.61743638421736,7.045616867434477
1.4102564102564104,6.6901551323283925,7.163893905304208
1.5384615384615385,6.7516484922173,7.269581130463993
1.6666666666666667,6.8032701594174165,7.363800115544117
1.794871794871795,6.846321359660068,7.447685619812922
1.9230769230769231,6.8819128892686505,7.522242926936545
2.051282051282051,6.911032044090077,7.588398750014815
2.1794871794871793,6.9345982624797555,7.647045070043998
2.3076923076923075,6.95346313506228,7.699039141910471
2.4358974358974357,6.968403308033278,7.745194297655558
2.5641025641025643,6.980030034290661,7.786172627408946
2.6923076923076925,6.9888348263674684,7.8225295093354505
2.8205128205128207,6.995268218802272,7.854786685463589
2.948717948717949,6.99974122645314,7.883432657533772
3.076923076923077,7.002625344497636,7.908922686998315
3.2051282051282053,7.004248731331056,7.931673485501339
3.3333333333333335,7.004842243547883,7.9519991255445035
3.4615384615384617,7.004572832308076,7.9701461562381635
3.58974358974359,7.0035970011262165,7.986349068426441
3.717948717948718,7.002061937008615,8.000831358246066
3.8461538461538463,7.000105510453314,8.01380552712638
3.9743589743589745,6.997856275450086,8.02547308178933
4.102564102564102,6.995424867652061,8.0360150049013
4.230769230769231,6.992857983980083,8.045539252019086
4.358974358974359,6.990192007654618,8.05413883242843
4.487179487179487,6.987463742730628,8.061904841512895
4.615384615384615,6.984708640492221,8.068924565571063
4.743589743589744,6.98196079945265,8.075281481816543
4.871794871794871,6.979252965354313,8.081055258377969
5.0,6.976616531168752,8.086321754298998
