time,x1,x2
0.0,4.8331919371560845,4.866684992867091
0.1282051282051282,5.253155183670955,5.186576978139306
0.2564102564102564,6.005296503547566,5.195529021489375
0.38461538461538464,5.539122495834698,5.832918477675423
0.5128205128205128,5.075250352766554,6.317532741934353
0.6410256410256411,6.361191487801592,6.285911858765832
0.7692307692307693,6.34164067061706,6.873175638738843
0.8974358974358975,6.428171614883336,6.338787611908579
1.0256410256410255,6.638111888048837,6.289829861048391
1.1538461538461537,6.655298230732901,6.656759525561232
1.2820512820512822,6.302140071108975,7.196240704721538
1.4102564102564104,6.6252807301294485,6.951966623643778
1.5384615384615385,5.580578200017553,7.320083510243268
1.6666666666666667,6.888547879522549,7.534748710217171
1.794871794871795,6.419703686788008,7.335965357078942
1.9230769230769231,6.992615974634201,7.519959032912751
2.051282051282051,7.079832687786455,7.620459483120911
2.1794871794871793,7.10543581095862,7.851370548277056
2.3076923076923075,6.551725598649085,7.627554026450805
2.4358974358974357,7.274210944654593,7.95572569617966
2.5641025641025643,6.936466883868472,7.979041568596238
2.6923076923076925,7.534639375584122,7.712351541785145
2.8205128205128207,7.222238910279648,7.880891729497213
2.948717948717949,6.744383138078632,8.160704017028307
3.076923076923077,7.486252608561944,7.63118182828165
3.2051282051282053,7.151846479635363,7.8638490501064995
3.3333333333333335,6.599350113825385,8.042708776254113
3.4615384615384617,7.372149845364446,7.832752849272759
3.58974358974359,6.892976492022803,7.809976226126064
3.717948717948718,7.269100500313979,8.072658135042223
3.8461538461538463,6.941567480262086,8.210043504455447
3.9743589743589745,6.75243889315992,7.530302961417775
4.102564102564102,6.871527395650259,8.044202491363514
4.230769230769231,7.082136525226135,8.06694946365475
4.358974358974359,6.721836466415959,7.455712683089345
4.487179487179487,6.9312782967240345,7.886271888947386
4.615384615384615,6.531887866432477,8.036398626033082
4.743589743589744,6.8705108822356316,8.438109658093987
4.871794871794871,6.918049961683862,8.084800571902216
5.0,7.018790628777517,7.788604085574958
