time,prey,predator
0.0,4.721986561926807,2.777808321445152
0.2222222222222222,3.834287359012595,3.1347223302940748
0.4444444444444444,3.875080809777105,2.275711713251884
0.6666666666666666,2.4309818388089073,2.2534925594384467
0.8888888888888888,1.4153759077950512,2.12151604076766
1.1111111111111112,3.6490376409511116,1.3618871053807202
1.3333333333333333,3.9930507162500897,1.8561218749559059
1.5555555555555556,4.734503867719189,0.7002067200095901
1.7777777777777777,5.709706348264704,0.6241857090897345
2.0,5.947988112609236,1.6048144374534
