"alpha_1_2","alpha_2_1"
0.386548168307758,0.398510253433433
0.386211476826098,0.399813746179736
0.385483644973951,0.398082111558897
0.385756244597631,0.398299996359222
0.385108559839926,0.398865761080504
0.385481857941994,0.398607682702134
0.386628533598432,0.398655836992173
0.38661582654731,0.398671353941354
0.386956794807034,0.398389883768933
0.386512049391109,0.399223293728671
0.386152953142395,0.398194574812632
0.386152953142395,0.398194574812632
0.385806812438932,0.398602810328969
0.385816213496239,0.397326239393204
0.386180295925817,0.398243410566825
0.385476806222865,0.398592530742084
0.385506125144371,0.397590746194302
0.385109903749616,0.397282601710394
0.385114671781832,0.396526074208456
0.384788436145508,0.396316736006616
0.384120806448669,0.39668578220127
0.384130688106838,0.39524137950217
0.384130688106838,0.39524137950217
0.383717921515745,0.394755681652309
0.384292113669622,0.395737600928037
0.384445986548308,0.395716721683389
0.38509568995195,0.395105995590182
0.38509568995195,0.395105995590182
0.384357435755711,0.395443264663722
0.384745131628885,0.394218907438779
0.384952543107169,0.395102263248787
0.384798919123462,0.394609086836078
0.384798919123462,0.394609086836078
0.385204197929235,0.394979251874661
0.385435202594054,0.395195703874659
0.385394813242959,0.395556404748439
0.386242487935497,0.39559934389079
0.384930667821619,0.395077447519524
0.385128430281282,0.396139755736781
0.385831219174886,0.396224490117349
0.385263222202234,0.395591449747248
0.38503082059281,0.395650598693883
0.385514423066592,0.395186104067186
0.385514423066592,0.395186104067186
0.385500199798883,0.396342514305547
0.38614007947349,0.395401717864699
0.385868142742904,0.39380808648954
0.385856865574201,0.394288057039945
0.386063787648288,0.394588627983333
0.386142666893677,0.394258136149542
0.385288602309993,0.393511998378701
0.385556041287567,0.393241863642925
0.384854648775092,0.393307901177492
0.385249965605824,0.393814564116189
0.385764967078856,0.393186594057542
0.384894117295343,0.393580941977438
0.385393027169236,0.393585912071467
0.385117568294306,0.393454577788901
0.384939864749898,0.39315177298613
0.38509777763482,0.393449491223939
0.385990658290811,0.394061311472802
0.385990658290811,0.394061311472802
0.385827336146937,0.392547150966018
0.38691488852134,0.393318789070069
0.386625718587232,0.393765981424395
0.386956176366848,0.393122117454889
0.386453719307822,0.394361394810108
0.386822896044888,0.393771917727199
0.3871071179796,0.396049991268616
0.388120922673614,0.395208275258915
0.387527116343212,0.395850068685052
0.388256118052002,0.395298343994641
0.388336082791931,0.395323692717938
0.38898935580699,0.396373195283297
0.388256595901967,0.395842675517089
0.389626595464018,0.396645358933374
0.389607184540005,0.397524523280171
0.388880694054931,0.396616215026485
0.389097028472236,0.396581999891335
0.390044045307042,0.397550002275654
0.390777708453063,0.397767411496421
0.389865920525069,0.397642471159792
0.391281136072548,0.396720197422786
0.391173733149957,0.396909033119637
0.389831783923568,0.397077233160271
0.390586030277082,0.397218580165783
0.389632624058247,0.396669742228774
0.390460976059578,0.396345444151454
